Gm#,Day,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
20,Tuesday, 4/23/2013,boxscore,BOS,,OAK,L,0,13,7,13-7,1,up 1.0,Colon,Aceves,,2:33,N,29006,-,
21,Wednesday, 4/24/2013,boxscore,BOS,,OAK,W,6,5,,14-7,1,up 2.0,Lester,Anderson,Bailey,3:40,D,29274,+,
22,Thursday, 4/25/2013,boxscore,BOS,,HOU,W,7,2,,15-7,1,up 2.0,Buchholz,Humber,,2:59,N,30093,++,
23,Friday, 4/26/2013,boxscore,BOS,,HOU,W,7,3,,16-7,1,up 2.0,Dempster,Bedard,,3:49,N,29312,+++,
24,Saturday, 4/27/2013,boxscore,BOS,,HOU,W,8,4,,17-7,1,up 2.0,Doubront,Peacock,,3:40,N,34726,++++,
25,Sunday, 4/28/2013,boxscore,BOS,,HOU,W,6,1,,18-7,1,up 2.5,Lackey,Norris,,2:56,D,36527,+++++,
26,Tuesday, 4/30/2013,boxscore,BOS,@,TOR,L,7,9,,18-8,1,up 2.0,Delabar,Tazawa,Janssen,3:14,N,22915,-,
27,Wednesday, 5/1/2013,boxscore,BOS,@,TOR,W,10,1,,19-8,1,up 2.0,Buchholz,Buehrle,,2:52,N,21094,+,
28,Thursday, 5/2/2013,boxscore,BOS,@,TOR,W,3,1,,20-8,1,up 2.5,Dempster,Happ,Hanrahan,3:22,N,25851,++,
29,Friday, 5/3/2013,boxscore,BOS,@,TEX,L,0,7,,20-9,1,up 2.5,Holland,Doubront,,3:04,N,42441,-,
30,Saturday, 5/4/2013,boxscore,BOS,@,TEX,L,1,5,,20-10,1,up 1.5,Ogando,Lackey,,2:55,N,47173,--,
31,Sunday, 5/5/2013,boxscore,BOS,@,TEX,L-wo,3,4,,20-11,1,up 1.5,Nathan,Mortensen,,3:35,D,46228,---,
32,Monday, 5/6/2013,boxscore,BOS,,MIN,W-wo,6,5,11,21-11,1,up 2.0,Mortensen,Burton,,4:44,N,31088,+,
33,Tuesday, 5/7/2013,boxscore,BOS,,MIN,L,1,6,,21-12,1,up 1.0,Diamond,Dempster,,3:01,N,30549,-,
34,Wednesday, 5/8/2013,boxscore,BOS,,MIN,L,8,15,,21-13,1,Tied,Pressly,Webster,,3:42,N,29969,--,
35,Thursday, 5/9/2013,boxscore,BOS,,MIN,L,3,5,,21-14,1,Tied,Correia,Lackey,Perkins,3:04,N,31571,---,
36,Friday, 5/10/2013,boxscore,BOS,,TOR,W,5,0,,22-14,1,Tied,Lester,Ortiz,,2:46,N,33606,+,
37,Saturday, 5/11/2013,boxscore,BOS,,TOR,L,2,3,,22-15,2,1,Oliver,Tazawa,Janssen,2:42,D,36543,-,
38,Sunday, 5/12/2013,boxscore,BOS,,TOR,L,4,12,,22-16,3,2,Jenkins,Dempster,,3:13,D,35532,--,
39,Tuesday, 5/14/2013,boxscore,BOS,@,TBR,L,3,5,,22-17,3,3,Moore,Lackey,Rodney,3:14,N,15227,---,
40,Wednesday, 5/15/2013,boxscore,BOS,@,TBR,W,9,2,,23-17,2,2,Lester,Price,,3:31,N,15767,+,
41,Thursday, 5/16/2013,boxscore,BOS,@,TBR,W,4,3,,24-17,2,1,Tazawa,Rodney,,3:43,N,16055,++,
42,Friday, 5/17/2013,boxscore,BOS,@,MIN,W,3,2,10,25-17,2,1,Wilson,Roenicke,Uehara,3:24,N,30210,+++,
43,Saturday, 5/18/2013,boxscore,BOS,@,MIN,W,12,5,,26-17,2,1,Breslow,Diamond,,3:53,N,36967,++++,
44,Sunday, 5/19/2013,boxscore,BOS,@,MIN,W,5,1,,27-17,2,0.5,Lackey,Hernandez,,3:15,D,33042,+++++,
45,Monday, 5/20/2013,boxscore,BOS,@,CHW,L,4,6,,27-18,2,1.5,Axelrod,Lester,Reed,2:52,N,21816,-,
46,Tuesday, 5/21/2013,boxscore,BOS,@,CHW,L,1,3,,27-19,2,1.5,Quintana,Doubront,Reed,2:45,N,21984,--,
47,Wednesday, 5/22/2013,boxscore,BOS,@,CHW,W,6,2,,28-19,2,0.5,Buchholz,Santiago,,3:15,N,21298,+,
48,Thursday, 5/23/2013,boxscore,BOS,,CLE,L,3,12,,28-20,2,1,McAllister,Dempster,Barnes,3:34,N,35254,-,
49,Friday, 5/24/2013,boxscore,BOS,,CLE,W,8,1,,29-20,2,1,Lackey,Masterson,,2:55,N,34074,+,
50,Saturday, 5/25/2013,boxscore,BOS,,CLE,W,7,4,,30-20,2,1,Tazawa,Pestano,Bailey,3:24,D,36504,++,
51,Sunday, 5/26/2013,boxscore,BOS,,CLE,W-wo,6,5,,31-20,1,Tied,Breslow,Perez,,3:19,D,37046,+++,
52,Monday, 5/27/2013,boxscore,BOS,,PHI,W,9,3,,32-20,1,up 1.0,Aceves,Cloyd,,3:26,N,33627,++++,
53,Tuesday, 5/28/2013,boxscore,BOS,,PHI,L,1,3,,32-21,1,up 1.0,Lee,Dempster,Papelbon,2:30,N,33463,-,
54,Wednesday, 5/29/2013,boxscore,BOS,@,PHI,L,3,4,,32-22,1,up 1.0,Kendrick,Lackey,Papelbon,3:08,N,38831,--,
55,Thursday, 5/30/2013,boxscore,BOS,@,PHI,W,9,2,,33-22,1,up 2.0,Morales,Pettibone,,3:15,N,40083,+,
56,Friday, 5/31/2013,boxscore,BOS,@,NYY,L,1,4,,33-23,1,up 1.0,Sabathia,Lester,Rivera,2:53,N,45141,-,
57,Saturday, 6/1/2013,boxscore,BOS,@,NYY,W,11,1,,34-23,1,up 2.0,Doubront,Hughes,,3:25,N,48784,+,
58,Sunday, 6/2/2013,boxscore,BOS,@,NYY,W,3,0,6,35-23,1,up 2.5,Buchholz,Kuroda,,1:58,N,43613,++,
59,Tuesday, 6/4/2013,boxscore,BOS,,TEX,W,17,5,,36-23,1,up 2.5,Dempster,Grimm,,3:10,N,32035,+++,
60,Wednesday, 6/5/2013,boxscore,BOS,,TEX,L,2,3,,36-24,1,up 1.5,Cotts,Breslow,Nathan,3:17,N,33296,-,
61,Thursday, 6/6/2013,boxscore,BOS,,TEX,W-wo,6,3,,37-24,1,up 1.5,Bailey,Kirkman,,3:21,N,35352,+,
62,Saturday, 6/8/2013,boxscore,BOS,,LAA,L,5,9,,37-25,1,up 1.5,Hanson,Doubront,Frieri,4:00,D,34499,-,
63,Saturday, 6/8/2013,boxscore,BOS,,LAA,W,7,2,,38-25,1,up 1.5,Buchholz,Wilson,,3:25,N,36518,+,2013-06-07 (Rain)
64,Sunday, 6/9/2013,boxscore,BOS,,LAA,W,10,5,,39-25,1,up 1.5,Dempster,Blanton,,3:33,D,37054,++,
65,Monday, 6/10/2013,boxscore,BOS,@,TBR,W,10,8,14,40-25,1,up 2.0,Morales,Ramos,,5:24,N,15477,+++,
66,Tuesday, 6/11/2013,boxscore,BOS,@,TBR,L,3,8,,40-26,1,up 2.0,Hernandez,Lester,,3:06,N,16870,-,
67,Wednesday, 6/12/2013,boxscore,BOS,@,TBR,W,2,1,,41-26,1,up 3.0,Aceves,Archer,Bailey,3:22,N,15091,+,
68,Thursday, 6/13/2013,boxscore,BOS,@,BAL,L-wo,4,5,13,41-27,1,up 2.5,McFarland,Wilson,,4:35,N,20098,-,
69,Friday, 6/14/2013,boxscore,BOS,@,BAL,L,0,2,,41-28,1,up 1.5,Tillman,Dempster,Johnson,2:43,N,39158,--,
70,Saturday, 6/15/2013,boxscore,BOS,@,BAL,W,5,4,,42-28,1,up 2.5,Lackey,Garcia,Bailey,2:48,D,42422,+,
71,Sunday, 6/16/2013,boxscore,BOS,@,BAL,L,3,6,,42-29,1,up 1.5,Gonzalez,Lester,Johnson,3:06,D,41311,-,
72,Tuesday, 6/18/2013,boxscore,BOS,,TBR,W,5,1,,43-29,1,up 2.5,Aceves,Archer,,3:10,D,33430,+,
73,Tuesday, 6/18/2013,boxscore,BOS,,TBR,W-wo,3,1,,44-29,1,up 2.5,Bailey,Peralta,,2:27,N,32156,++,2013-04-12 (Rain)
74,Wednesday, 6/19/2013,boxscore,BOS,,TBR,L,2,6,,44-30,1,up 1.5,Hellickson,Dempster,,3:21,N,35710,-,
75,Thursday, 6/20/2013,boxscore,BOS,@,DET,L-wo,3,4,,44-31,1,up 1.0,Smyly,Bailey,,2:53,N,36939,--,
76,Friday, 6/21/2013,boxscore,BOS,@,DET,W,10,6,,45-31,1,up 2.0,Lester,Fister,,3:16,N,41126,+,
77,Saturday, 6/22/2013,boxscore,BOS,@,DET,L,3,10,,45-32,1,up 2.0,Scherzer,Webster,,3:05,N,42508,-,
78,Sunday, 6/23/2013,boxscore,BOS,@,DET,L,5,7,,45-33,1,up 2.0,Benoit,Miller,,3:47,D,41507,--,
79,Tuesday, 6/25/2013,boxscore,BOS,,COL,W,11,4,,46-33,1,up 2.5,Dempster,Nicasio,,3:40,N,36286,+,
80,Wednesday, 6/26/2013,boxscore,BOS,,COL,W,5,3,,47-33,1,up 3.5,Lackey,Oswalt,Uehara,2:36,D,34632,++,
81,Thursday, 6/27/2013,boxscore,BOS,,TOR,W,7,4,,48-33,1,up 3.5,Lester,Wang,Uehara,2:34,N,34750,+++,
82,Friday, 6/28/2013,boxscore,BOS,,TOR,W,7,5,,49-33,1,up 3.5,Miller,Wagner,Uehara,3:22,N,36383,++++,
83,Saturday, 6/29/2013,boxscore,BOS,,TOR,L,2,6,,49-34,1,up 2.5,Delabar,Tazawa,,3:05,D,37437,-,
84,Sunday, 6/30/2013,boxscore,BOS,,TOR,W-wo,5,4,,50-34,1,up 2.5,Uehara,Perez,,3:10,D,37425,+,
85,Tuesday, 7/2/2013,boxscore,BOS,,SDP,W,4,1,,51-34,1,up 3.5,Lackey,Erlin,Uehara,2:48,N,36498,++,
86,Wednesday, 7/3/2013,boxscore,BOS,,SDP,W-wo,2,1,,52-34,1,up 3.5,Uehara,Gregerson,,3:05,N,36911,+++,
87,Thursday, 7/4/2013,boxscore,BOS,,SDP,W,8,2,,53-34,1,up 4.5,Webster,Stults,,3:21,D,37607,++++,
88,Friday, 7/5/2013,boxscore,BOS,@,LAA,W,6,2,,54-34,1,up 5.5,Doubront,Wilson,,3:14,N,37092,+++++,
89,Saturday, 7/6/2013,boxscore,BOS,@,LAA,L-wo,7,9,11,54-35,1,up 5.0,De La Rosa,Breslow,,4:22,N,36112,-,
90,Sunday, 7/7/2013,boxscore,BOS,@,LAA,L,0,3,,54-36,1,up 4.5,Weaver,Lackey,Frieri,2:57,N,39018,--,
91,Monday, 7/8/2013,boxscore,BOS,@,SEA,L,4,11,,54-37,1,up 3.5,Hernandez,Lester,,3:21,N,21830,---,
92,Tuesday, 7/9/2013,boxscore,BOS,@,SEA,W,11,8,,55-37,1,up 3.5,Breslow,Beavan,Uehara,3:44,N,21076,+,
93,Wednesday, 7/10/2013,boxscore,BOS,@,SEA,W,11,4,,56-37,1,up 3.5,Doubront,Harang,,3:23,N,20468,++,
94,Thursday, 7/11/2013,boxscore,BOS,@,SEA,W,8,7,10,57-37,1,up 3.5,Wright,Wilhelmsen,Uehara,4:04,D,25367,+++,
95,Friday, 7/12/2013,boxscore,BOS,@,OAK,W,4,2,,58-37,1,up 4.5,Lackey,Doolittle,Uehara,3:06,N,27084,++++,
96,Saturday, 7/13/2013,boxscore,BOS,@,OAK,L,0,3,,58-38,1,up 3.5,Griffin,Lester,Balfour,2:49,N,36067,-,
97,Sunday, 7/14/2013,boxscore,BOS,@,OAK,L-wo,2,3,11,58-39,1,up 2.5,Cook,Thornton,,3:34,D,31417,--,
98,Friday, 7/19/2013,boxscore,BOS,,NYY,W,4,2,,59-39,1,up 2.5,Doubront,Pettitte,Uehara,2:55,N,38130,+,
99,Saturday, 7/20/2013,boxscore,BOS,,NYY,L,2,5,,59-40,1,up 1.5,Kuroda,Lackey,Rivera,3:12,D,37601,-,
100,Sunday, 7/21/2013,boxscore,BOS,,NYY,W-wo,8,7,11,60-40,1,up 1.5,Beato,Warren,,4:46,N,38138,+,
101,Monday, 7/22/2013,boxscore,BOS,,TBR,L,0,3,,60-41,1,up 0.5,Moore,Workman,,2:52,N,35016,-,
102,Tuesday, 7/23/2013,boxscore,BOS,,TBR,W,6,2,,61-41,1,up 1.5,Lester,Hernandez,,3:06,N,34609,+,
103,Wednesday, 7/24/2013,boxscore,BOS,,TBR,L,1,5,,61-42,1,up 0.5,Price,Doubront,,3:00,N,36514,-,
104,Friday, 7/26/2013,boxscore,BOS,@,BAL,L,0,6,,61-43,2,0.5,Tillman,Lackey,,2:35,N,39063,--,
105,Saturday, 7/27/2013,boxscore,BOS,@,BAL,W,7,3,,62-43,2,0.5,Dempster,Feldman,,3:21,N,44765,+,
106,Sunday, 7/28/2013,boxscore,BOS,@,BAL,W,5,0,,63-43,1,up 0.5,Lester,Hammel,,2:58,D,32891,++,
107,Monday, 7/29/2013,boxscore,BOS,,TBR,L,1,2,,63-44,2,0.5,Price,Doubront,Rodney,3:21,N,37242,-,2013-07-25 (Rain)
108,Tuesday, 7/30/2013,boxscore,BOS,,SEA,W,8,2,,64-44,2,0.5,Workman,Saunders,,2:44,N,34578,+,
109,Wednesday, 7/31/2013,boxscore,BOS,,SEA,W-wo,5,4,15,65-44,1,up 0.5,Britton,Luetge,,5:03,N,35059,++,
110,Thursday, 8/1/2013,boxscore,BOS,,SEA,W-wo,8,7,,66-44,1,up 1.0,Wright,Perez,,3:17,N,35886,+++,
111,Friday, 8/2/2013,boxscore,BOS,,ARI,L,6,7,,66-45,1,up 1.0,Delgado,Beato,Ziegler,3:32,N,37652,-,
112,Saturday, 8/3/2013,boxscore,BOS,,ARI,W,5,2,,67-45,1,up 1.0,Peavy,Corbin,Uehara,3:02,N,37941,+,
113,Sunday, 8/4/2013,boxscore,BOS,,ARI,W,4,0,,68-45,1,up 1.0,Doubront,McCarthy,,3:16,D,37611,++,
114,Monday, 8/5/2013,boxscore,BOS,@,HOU,L,0,2,,68-46,1,up 0.5,Oberholtzer,Lackey,Fields,3:11,N,24543,-,
115,Tuesday, 8/6/2013,boxscore,BOS,@,HOU,W,15,10,,69-46,1,up 1.5,Workman,Lyles,,3:54,N,21620,+,
116,Wednesday, 8/8/2013,boxscore,BOS,@,HOU,W,7,5,,70-46,1,up 2.5,Tazawa,Fields,Uehara,3:53,N,22205,++,
117,Thursday, 8/8/2013,boxscore,BOS,@,KCR,L,1,5,,70-47,1,up 2.0,Chen,Lester,Hochevar,2:38,N,21121,-,
118,Friday, 8/9/2013,boxscore,BOS,@,KCR,L,6,9,,70-48,1,up 2.0,Bueno,Britton,Holland,3:25,N,29485,--,
119,Saturday, 8/10/2013,boxscore,BOS,@,KCR,W,5,3,,71-48,1,up 3.0,Workman,Guthrie,Uehara,3:28,N,38742,+,
120,Sunday, 8/11/2013,boxscore,BOS,@,KCR,L,3,4,,71-49,1,up 3.0,Shields,Lackey,Holland,2:56,D,24935,-,
121,Tuesday, 8/13/2013,boxscore,BOS,@,TOR,W,4,2,11,72-49,1,up 4.0,Uehara,Loup,,3:37,N,32816,+,
122,Wednesday, 8/14/2013,boxscore,BOS,@,TOR,L-wo,3,4,10,72-50,1,up 3.0,Lincoln,Workman,,3:20,N,31695,-,
123,Thursday, 8/15/2013,boxscore,BOS,@,TOR,L,1,2,,72-51,1,up 2.0,Buehrle,Peavy,Janssen,2:43,N,40477,--,
124,Friday, 8/16/2013,boxscore,BOS,,NYY,L,3,10,,72-52,1,up 1.0,Pettitte,Doubront,,3:31,N,38143,---,
125,Saturday, 8/17/2013,boxscore,BOS,,NYY,W,6,1,,73-52,1,up 2.0,Lackey,Kuroda,,3:26,D,37517,+,
126,Sunday, 8/18/2013,boxscore,BOS,,NYY,L,6,9,,73-53,1,up 1.0,Sabathia,Dempster,Rivera,4:12,N,37917,-,
127,Monday, 8/19/2013,boxscore,BOS,@,SFG,W,7,0,,74-53,1,up 1.0,Lester,Lincecum,,2:59,N,41585,+,
128,Tuesday, 8/20/2013,boxscore,BOS,@,SFG,L-wo,2,3,,74-54,1,Tied,Romo,Morales,,2:59,N,41551,-,
129,Wednesday, 8/21/2013,boxscore,BOS,@,SFG,W,12,1,,75-54,1,up 1.0,Doubront,Zito,,2:46,D,41532,+,
130,Friday, 8/23/2013,boxscore,BOS,@,LAD,L,0,2,,75-55,1,Tied,Nolasco,Lackey,Jansen,2:07,N,50240,-,
131,Saturday, 8/24/2013,boxscore,BOS,@,LAD,W,4,2,,76-55,1,Tied,Lester,Ryu,Uehara,3:14,D,48165,+,
132,Sunday, 8/25/2013,boxscore,BOS,@,LAD,W,8,1,,77-55,1,up 1.0,Peavy,Capuano,,3:00,N,44109,++,
133,Tuesday, 8/27/2013,boxscore,BOS,,BAL,W,13,2,,78-55,1,up 2.5,Doubront,Chen,,2:59,N,36226,+++,
134,Wednesday, 8/28/2013,boxscore,BOS,,BAL,W,4,3,,79-55,1,up 2.5,Breslow,Hunter,Uehara,3:00,N,31962,++++,
135,Thursday, 8/29/2013,boxscore,BOS,,BAL,L,2,3,,79-56,1,up 2.5,Tillman,Lester,Johnson,3:20,N,33300,-,
136,Friday, 8/30/2013,boxscore,BOS,,CHW,W,4,3,,80-56,1,up 3.5,Dempster,Santiago,Uehara,3:09,N,36063,+,
137,Saturday, 8/31/2013,boxscore,BOS,,CHW,W,7,2,,81-56,1,up 4.5,Peavy,Danks,,3:11,N,37363,++,
138,Sunday, 9/1/2013,boxscore,BOS,,CHW,W,7,6,,82-56,1,up 5.5,Workman,Rienzo,Uehara,3:39,D,37053,+++,
139,Monday, 9/2/2013,boxscore,BOS,,DET,L,0,3,,82-57,1,up 5.5,Fister,Lackey,Veras,2:59,D,36188,-,
140,Tuesday, 9/3/2013,boxscore,BOS,,DET,W,2,1,,83-57,1,up 5.5,Lester,Scherzer,Uehara,2:56,N,32071,+,
141,Wednesday, 9/4/2013,boxscore,BOS,,DET,W,20,4,,84-57,1,up 5.5,Dempster,Porcello,,3:33,N,33720,++,
142,Thursday, 9/5/2013,boxscore,BOS,@,NYY,W,9,8,10,85-57,1,up 6.5,Breslow,Chamberlain,Uehara,4:32,N,40481,+++,
143,Friday, 9/6/2013,boxscore,BOS,@,NYY,W,12,8,,86-57,1,up 7.5,Workman,Claiborne,,4:00,N,44117,++++,
144,Saturday, 9/7/2013,boxscore,BOS,@,NYY,W,13,9,,87-57,1,up 8.5,Lackey,Huff,,3:32,D,49046,+++++,
145,Sunday, 9/8/2013,boxscore,BOS,@,NYY,L-wo,3,4,,87-58,1,up 7.5,Rivera,Workman,,3:15,D,43078,-,
146,Tuesday, 9/10/2013,boxscore,BOS,@,TBR,W,2,0,,88-58,1,up 8.5,Buchholz,Price,Uehara,3:09,N,18605,+,
147,Wednesday, 9/11/2013,boxscore,BOS,@,TBR,W,7,3,10,89-58,1,up 9.5,Uehara,Peralta,,4:05,N,19215,++,
148,Thursday, 9/12/2013,boxscore,BOS,@,TBR,L,3,4,,89-59,1,up 8.5,McGee,De La Rosa,Rodney,3:17,N,20360,-,
149,Friday, 9/13/2013,boxscore,BOS,,NYY,W,8,4,,90-59,1,up 8.5,Workman,Kuroda,,3:06,N,37542,+,
150,Saturday, 9/14/2013,boxscore,BOS,,NYY,W,5,1,,91-59,1,up 8.5,Lester,Sabathia,,2:43,D,37510,++,
151,Sunday, 9/15/2013,boxscore,BOS,,NYY,W,9,2,,92-59,1,up 9.5,Buchholz,Nova,,3:13,N,37137,+++,
152,Tuesday, 9/17/2013,boxscore,BOS,,BAL,L,2,3,,92-60,1,up 9.0,Hunter,Uehara,Johnson,3:08,N,35030,-,
153,Wednesday, 9/18/2013,boxscore,BOS,,BAL,L,3,5,12,92-61,1,up 8.0,McFarland,Morales,Johnson,4:01,N,38540,--,
154,Thursday, 9/19/2013,boxscore,BOS,,BAL,W,3,1,,93-61,1,up 9.0,Lackey,Tillman,,2:18,N,36436,+,
155,Friday, 9/20/2013,boxscore,BOS,,TOR,W,6,3,,94-61,1,up 9.0,Lester,Rogers,Uehara,3:26,N,37215,++,
156,Saturday, 9/21/2013,boxscore,BOS,,TOR,L,2,4,,94-62,1,up 8.0,Buehrle,Buchholz,Janssen,3:07,N,37569,-,
157,Sunday, 9/22/2013,boxscore,BOS,,TOR,W,5,2,,95-62,1,up 8.0,Doubront,Dickey,Uehara,2:13,D,37020,+,
158,Tuesday, 9/24/2013,boxscore,BOS,@,COL,L,3,8,,95-63,1,up 6.5,Chatwood,Lackey,,2:40,N,32315,-,
159,Wednesday, 9/25/2013,boxscore,BOS,@,COL,W,15,5,,96-63,1,up 6.5,Peavy,Chacin,,3:30,N,48775,+,
160,Friday, 9/27/2013,boxscore,BOS,@,BAL,W,12,3,,97-63,1,up 7.0,Buchholz,Feldman,,3:16,N,30774,++,
161,Saturday, 9/28/2013,boxscore,BOS,@,BAL,L,5,6,,97-64,1,up 7.0,Gausman,Tazawa,Johnson,3:21,N,36556,-,
162,Sunday, 9/29/2013,boxscore,BOS,@,BAL,L,6,7,,97-65,1,up 6.0,McFarland,De La Rosa,Johnson,3:23,D,44230,--,
