Gm#,Day,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Monday, 4/1/2013,boxscore,BOS,@,NYY,W,8,2,,Jan-00,1,up 0.5,Lester,Sabathia,,3:37,D,49514,+,
2,Wednesday, 4/3/2013,boxscore,BOS,@,NYY,W,7,4,,Feb-00,1,up 1.0,Buchholz,Kuroda,Hanrahan,3:35,N,40216,++,
3,Thursday, 4/4/2013,boxscore,BOS,@,NYY,L,2,4,,1-Feb,1,Tied,Pettitte,Dempster,Rivera,2:38,N,40611,-,
4,Friday, 4/5/2013,boxscore,BOS,@,TOR,W,6,4,,1-Mar,1,Tied,Tazawa,Rogers,Hanrahan,3:35,N,45328,+,
5,Saturday, 4/6/2013,boxscore,BOS,@,TOR,L,0,5,,2-Mar,1,Tied,Happ,Lackey,,2:38,D,45797,-,
6,Sunday, 4/7/2013,boxscore,BOS,@,TOR,W,13,0,,2-Apr,1,up 1.0,Lester,Dickey,,2:44,D,41168,+,
7,Monday, 4/8/2013,boxscore,BOS,,BAL,W,3,1,,2-May,1,up 2.0,Buchholz,Chen,Hanrahan,2:42,D,37008,++,
8,Wednesday, 4/10/2013,boxscore,BOS,,BAL,L,5,8,,3-May,1,up 1.0,O'Day,Hanrahan,Johnson,2:53,N,30862,-,
9,Thursday, 4/11/2013,boxscore,BOS,,BAL,L,2,3,,4-May,1,Tied,Matusz,Mortensen,Johnson,3:15,N,27704,--,
10,Saturday, 4/13/2013,boxscore,BOS,,TBR,W-wo,2,1,10,4-Jun,1,up 0.5,Tazawa,Gomes,,3:23,D,33039,+,
11,Sunday, 4/14/2013,boxscore,BOS,,TBR,W,5,0,,4-Jul,1,up 1.0,Buchholz,Cobb,,2:49,D,35198,++,
12,Monday, 4/15/2013,boxscore,BOS,,TBR,W-wo,3,2,,4-Aug,1,up 1.5,Bailey,Peralta,,3:03,D,37449,+++,
13,Tuesday, 4/16/2013,boxscore,BOS,@,CLE,W,7,2,,4-Sep,1,up 1.5,Doubront,Jimenez,,3:30,N,9143,++++,
14,Wednesday, 4/17/2013,boxscore,BOS,@,CLE,W,6,3,,4-Oct,1,up 1.5,Aceves,Masterson,Bailey,3:24,N,10282,+++++,
15,Thursday, 4/18/2013,boxscore,BOS,@,CLE,W,6,3,,4-Nov,1,up 2.5,Lester,McAllister,Bailey,3:13,N,12936,++++++,
16,Saturday, 4/20/2013,boxscore,BOS,,KCR,W,4,3,,4-Dec,1,up 2.0,Buchholz,Herrera,Bailey,2:58,D,35152,+++++++,
17,Sunday, 4/21/2013,boxscore,BOS,,KCR,L,2,4,,5-Dec,1,up 1.5,Santana,Dempster,Holland,2:54,D,31483,-,
18,Sunday, 4/21/2013,boxscore,BOS,,KCR,L,4,5,10,6-Dec,1,up 1.5,Herrera,Miller,Holland,3:11,N,33270,--,2013-04-19 (Police manhunt (Boston Marathon bomber))
19,Monday, 4/22/2013,boxscore,BOS,,OAK,W,9,6,,13-6,1,up 2.0,Doubront,Griffin,Bailey,3:29,N,28926,+,
