Gm#,Day_of_Week,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Monday, 3/31/2014,boxscore,BOS,@,BAL,L,1,2,,0-1,4,1,Britton,Lester,Hunter,2:53,D,46685,-,
2,Wednesday, 4/2/2014,boxscore,BOS,@,BAL,W,6,2,,1-Jan,2,0.5,Lackey,Jimenez,,2:43,N,25708,+,
3,Thursday, 4/3/2014,boxscore,BOS,@,BAL,W,4,3,,1-Feb,1,up 0.5,Doubront,Chen,Uehara,2:55,N,20880,++,
4,Friday, 4/4/2014,boxscore,BOS,,MIL,L,2,6,,2-Feb,2,0.5,Kintzler,Mujica,,3:19,D,36728,-,
5,Saturday, 4/5/2014,boxscore,BOS,,MIL,L,6,7,11,3-Feb,3,1.5,Thornburg,Badenhop,Rodriguez,4:23,N,35729,--,
6,Sunday, 4/6/2014,boxscore,BOS,,MIL,L,0,4,,4-Feb,4,1.5,Gallardo,Lester,,2:57,D,35958,---,
7,Monday, 4/7/2014,boxscore,BOS,,TEX,W,5,1,,4-Mar,3,1,Lackey,Scheppers,,3:07,N,35842,+,
8,Tuesday, 4/8/2014,boxscore,BOS,,TEX,L,7,10,,5-Mar,4,1.5,Perez,Doubront,,3:11,N,34142,-,
9,Wednesday, 4/9/2014,boxscore,BOS,,TEX,W,4,2,,5-Apr,3,1,Miller,Ogando,Uehara,2:57,D,33585,+,
10,Thursday, 4/10/2014,boxscore,BOS,@,NYY,L,1,4,,6-Apr,5,1,Pineda,Buchholz,Phelps,2:55,N,42821,-,
11,Friday, 4/11/2014,boxscore,BOS,@,NYY,W,4,2,,6-May,3,1,Lester,Sabathia,Mujica,3:01,N,44121,+,
12,Saturday, 4/12/2014,boxscore,BOS,@,NYY,L,4,7,,7-May,5,2,Kuroda,Lackey,Kelley,3:07,D,48572,-,
13,Sunday, 4/13/2014,boxscore,BOS,@,NYY,L,2,3,,8-May,5,2,Nova,Doubront,Kelley,3:08,N,46081,--,
14,Tuesday, 4/15/2014,boxscore,BOS,@,CHW,L-wo,1,2,,9-May,5,3,Webb,Badenhop,,3:36,N,13402,---,
15,Wednesday, 4/16/2014,boxscore,BOS,@,CHW,W,6,4,14,9-Jun,5,3,Capuano,Garcia,Badenhop,5:17,N,13302,+,
16,Thursday, 4/17/2014,boxscore,BOS,@,CHW,W,3,1,,9-Jul,4,3,Lester,Belisario,Uehara,2:54,N,17454,++,
17,Friday, 4/18/2014,boxscore,BOS,,BAL,L,4,8,,10-Jul,5,3,Tillman,Lackey,O'Day,3:26,N,36408,-,
18,Saturday, 4/19/2014,boxscore,BOS,,BAL,W,4,2,,10-Aug,5,2,Tazawa,Norris,Uehara,2:47,D,37689,+,
19,Sunday, 4/20/2014,boxscore,BOS,,BAL,W-wo,6,5,,10-Sep,3,2,Mujica,Matusz,,3:22,N,33947,++,
20,Monday, 4/21/2014,boxscore,BOS,,BAL,L,6,7,,11-Sep,5,2.5,Chen,Buchholz,Hunter,3:18,D,37513,-,
21,Tuesday, 4/22/2014,boxscore,BOS,,NYY,L,3,9,,12-Sep,5,3.5,Tanaka,Lester,,3:17,N,37041,--,
22,Wednesday, 4/23/2014,boxscore,BOS,,NYY,W,5,1,,12-Oct,5,2.5,Lackey,Pineda,,3:12,N,37015,+,
23,Thursday, 4/24/2014,boxscore,BOS,,NYY,L,5,14,,13-Oct,5,3.5,Sabathia,Doubront,,3:51,N,37356,-,
24,Friday, 4/25/2014,boxscore,BOS,@,TOR,W,8,1,,13-Nov,4,2.5,Peavy,Buehrle,,2:57,N,29411,+,
25,Saturday, 4/26/2014,boxscore,BOS,@,TOR,W,7,6,,13-Dec,3,2.5,Buchholz,Morrow,Uehara,3:23,D,40322,++,
26,Sunday, 4/27/2014,boxscore,BOS,@,TOR,L,1,7,,14-Dec,4,3.5,Dickey,Lester,,2:28,D,45260,-,
