Gm#,Day_of_Week,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
44,Tuesday,5/23/2017,boxscore,BOS,,TEX,W,11,6,,23-21,3,3.5,Porcello,Cashner,,3:23,N,34769,++,
45,Wednesday,5/24/2017,boxscore,BOS,,TEX,W,9,4,,24-21,3,3.5,Sale,Dyson,,2:59,N,36089,+++,
46,Thursday,5/25/2017,boxscore,BOS,,TEX,W,6,2,,25-21,3,3,Pomeranz,Martinez,,3:23,N,33484,++++,
47,Friday,5/26/2017,boxscore,BOS,,SEA,W,3,0,,26-21,2,2,Rodriguez,Gallardo,Kimbrel,3:11,N,35080,+++++,
48,Saturday,5/27/2017,boxscore,BOS,,SEA,W,6,0,,27-21,2,2,Johnson,Whalen,,2:23,D,36985,++++++,
49,Sunday,5/28/2017,boxscore,BOS,,SEA,L,0,5,,27-22,2,3,Bergman,Porcello,,3:14,D,37174,-,
50,Monday,5/29/2017,boxscore,BOS,@,CHW,L,4,5,,27-23,2,3,Minaya,Barnes,Robertson,3:16,D,27148,--,
51,Tuesday,5/30/2017,boxscore,BOS,@,CHW,W,13,7,,28-23,2,3,Sale,Quintana,Kimbrel,3:53,N,21852,+,
52,Wednesday,5/31/2017,boxscore,BOS,@,CHW,W,4,1,,29-23,2,2,Pomeranz,Swarzak,Kimbrel,2:59,N,19075,++,
53,Thursday,6/1/2017,boxscore,BOS,@,BAL,L,5,7,,29-24,2,3,Miley,Rodriguez,,2:38,N,20150,-,
54,Friday,6/2/2017,boxscore,BOS,@,BAL,L,2,3,,29-25,3,3,Asher,Porcello,Brach,2:59,N,33193,--,
55,Saturday,6/3/2017,boxscore,BOS,@,BAL,W,5,2,,30-25,2,3,Price,Bundy,Kimbrel,3:22,N,35470,+,
56,Sunday,6/4/2017,boxscore,BOS,@,BAL,W,7,3,,31-25,2,2,Sale,Tillman,,3:06,D,31819,++,
57,Tuesday,6/6/2017,boxscore,BOS,@,NYY,W,5,4,,32-25,2,1,Pomeranz,Tanaka,Kimbrel,3:35,N,41516,+++,
58,Wednesday,6/7/2017,boxscore,BOS,@,NYY,L,0,8,,32-26,2,2,Sabathia,Porcello,,2:42,N,44380,-,
59,Thursday,6/8/2017,boxscore,BOS,@,NYY,L,1,9,,32-27,2,3,Pineda,Price,,3:27,N,46194,--,
60,Friday,6/9/2017,boxscore,BOS,,DET,W,5,3,,33-27,2,3,Barnes,Wilson,Kimbrel,3:36,N,36853,+,
61,Saturday,6/10/2017,boxscore,BOS,,DET,W,11,3,,34-27,2,3,Sale,Saupold,,3:39,N,37162,++,
62,Sunday,6/11/2017,boxscore,BOS,,DET,L,3,8,,34-28,2,4,Norris,Pomeranz,,4:06,N,35457,-,
63,Monday,6/12/2017,boxscore,BOS,,PHI,W-wo,6,5,11,35-28,2,4,Barnes,Fien,,4:16,N,36757,+,
64,Tuesday,6/13/2017,boxscore,BOS,,PHI,W-wo,4,3,12,36-28,2,3,Abad,Garcia,,4:24,N,37141,++,
65,Wednesday,6/14/2017,boxscore,BOS,@,PHI,W,7,3,,37-28,2,2,Velazquez,Hellickson,,3:26,N,28263,+++,
66,Thursday,6/15/2017,boxscore,BOS,@,PHI,L,0,1,,37-29,2,2,Neshek,Sale,Neris,2:25,N,30729,-,
67,Friday,6/16/2017,boxscore,BOS,@,HOU,W,2,1,,38-29,2,1,Kelly,Harris,Kimbrel,3:11,N,36189,+,
68,Saturday,6/17/2017,boxscore,BOS,@,HOU,L,1,7,,38-30,2,1,Paulino,Porcello,,2:34,N,41017,-,
69,Sunday,6/18/2017,boxscore,BOS,@,HOU,W,6,5,,39-30,1,Tied,Price,Musgrove,Kimbrel,4:08,N,38389,+,
70,Monday,6/19/2017,boxscore,BOS,@,KCR,L,2,4,,39-31,2,0.5,Hammel,Boyer,Herrera,3:11,N,27992,-,
71,Tuesday,6/20/2017,boxscore,BOS,@,KCR,W,8,3,,40-31,1,up 0.5,Sale,Strahm,,2:54,N,25983,+,
72,Wednesday,6/21/2017,boxscore,BOS,@,KCR,L,4,6,,40-32,2,0.5,Soria,Scott,Herrera,3:07,D,30826,-,
73,Friday,6/23/2017,boxscore,BOS,,LAA,W,9,4,,41-32,1,Tied,Porcello,Meyer,,3:07,N,37034,+,
74,Saturday,6/24/2017,boxscore,BOS,,LAA,L,3,6,,41-33,1,Tied,Ramirez,Price,Parker,3:34,N,36868,-,
75,Sunday,6/25/2017,boxscore,BOS,,LAA,L,2,4,,41-34,1,Tied,Bridwell,Fister,Petit,2:50,D,36474,--,
76,Monday,6/26/2017,boxscore,BOS,,MIN,W,4,1,,42-34,1,Tied,Sale,Berrios,Kimbrel,2:55,N,37172,+,
77,Tuesday,6/27/2017,boxscore,BOS,,MIN,W,9,2,,43-34,1,up 1.0,Pomeranz,Santiago,,3:18,N,36804,++,
78,Wednesday,6/28/2017,boxscore,BOS,,MIN,L,1,4,,43-35,1,Tied,Mejia,Porcello,Kintzler,3:14,N,37487,-,
79,Thursday,6/29/2017,boxscore,BOS,,MIN,W,6,3,,44-35,1,up 1.0,Price,Gibson,Kimbrel,3:24,N,37445,+,
80,Friday,6/30/2017,boxscore,BOS,@,TOR,W,7,4,11,45-35,1,up 1.0,Boyer,Loup,Kimbrel,4:44,N,41357,++,
81,Saturday,7/1/2017,boxscore,BOS,@,TOR,W,7,1,,46-35,1,up 2.0,Sale,Liriano,,2:54,D,46672,+++,
82,Sunday,7/2/2017,boxscore,BOS,@,TOR,W,15,1,,47-35,1,up 3.0,Pomeranz,Biagini,Abad,3:34,D,46696,++++,
83,Monday,7/3/2017,boxscore,BOS,@,TEX,W,7,5,11,48-35,1,up 3.0,Hembree,Frieri,,4:07,N,45448,+++++,
84,Tuesday,7/4/2017,boxscore,BOS,@,TEX,W,11,4,,49-35,1,up 4.0,Price,Darvish,,3:56,N,43267,++++++,
85,Wednesday,7/5/2017,boxscore,BOS,@,TEX,L,2,8,,49-36,1,up 4.0,Cashner,Fister,,2:52,N,32276,-,
86,Thursday,7/6/2017,boxscore,BOS,@,TBR,L,1,4,,49-37,1,up 3.5,Faria,Sale,Colome,2:43,N,23375,--,
87,Friday,7/7/2017,boxscore,BOS,@,TBR,W,8,3,,50-37,1,up 4.5,Pomeranz,Odorizzi,,3:24,N,24842,+,
88,Saturday,7/8/2017,boxscore,BOS,@,TBR,L,0,1,,50-38,1,up 3.5,Cobb,Porcello,Colome,2:41,D,23419,-,
89,Sunday,7/9/2017,boxscore,BOS,@,TBR,L,3,5,,50-39,1,up 3.5,Boxberger,Kelly,Colome,3:07,D,20812,--,
90,Friday,7/14/2017,boxscore,BOS,,NYY,W-wo,5,4,,51-39,1,up 3.5,Scott,Chapman,,3:27,N,37570,+,
91,Saturday,7/15/2017,boxscore,BOS,,NYY,L,1,4,16,51-40,1,up 2.5,Heller,Fister,,5:50,D,36936,-,
