Gm#,Day_of_Week,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Tuesday,4/5/2016,boxscore,BOS,@,CLE,W,6,2,,Jan-00,1,Tied,Price,Kluber,,3:13,D,34493,+,2016-04-04 (Cold)
2,Wednesday,4/6/2016,boxscore,BOS,@,CLE,L,6,7,,1-Jan,2,1,McAllister,Tazawa,Allen,3:29,N,10298,-,
3,Friday,4/8/2016,boxscore,BOS,@,TOR,W,8,7,,1-Feb,2,1.5,Barnes,Storen,Kimbrel,3:24,N,48871,+,
4,Saturday,4/9/2016,boxscore,BOS,@,TOR,W,8,4,,1-Mar,2,1,Porcello,Dickey,,2:48,D,47138,++,
5,Sunday,4/10/2016,boxscore,BOS,@,TOR,L,0,3,,2-Mar,2,2,Estrada,Wright,Osuna,2:27,D,46158,-,
6,Monday,4/11/2016,boxscore,BOS,,BAL,L,7,9,,3-Mar,3,3,Brach,Kimbrel,Britton,3:26,D,37160,--,
7,Tuesday,4/12/2016,boxscore,BOS,,BAL,L,5,9,,4-Mar,3,4,Wright,Buchholz,,3:23,N,31114,---,
8,Wednesday,4/13/2016,boxscore,BOS,,BAL,W,4,2,,4-Apr,3,3,Kelly,Jimenez,Kimbrel,3:13,N,31011,+,
9,Friday,4/15/2016,boxscore,BOS,,TOR,W,5,3,,4-May,2,2.5,Porcello,Dickey,Kimbrel,3:02,N,31415,++,
10,Saturday,4/16/2016,boxscore,BOS,,TOR,W,4,2,,4-Jun,2,1.5,Price,Estrada,Kimbrel,2:43,D,36267,+++,
11,Sunday,4/17/2016,boxscore,BOS,,TOR,L,3,5,,5-Jun,2,2,Sanchez,Wright,,3:09,D,37217,-,
12,Monday,4/18/2016,boxscore,BOS,,TOR,L,3,4,,6-Jun,2,2.5,Happ,Uehara,Storen,3:12,D,37168,--,
13,Tuesday,4/19/2016,boxscore,BOS,,TBR,L,0,3,10,7-Jun,3,2.5,Ramirez,Barnes,Colome,3:25,N,32061,---,
14,Wednesday,4/20/2016,boxscore,BOS,,TBR,W,7,3,,7-Jul,2,2.5,Porcello,Archer,,3:02,N,31689,+,
15,Thursday,4/21/2016,boxscore,BOS,,TBR,L,8,12,,8-Jul,2,3.5,Ramirez,Cuevas,Colome,4:16,D,37954,-,
16,Friday,4/22/2016,boxscore,BOS,@,HOU,W,6,2,,8-Aug,2,2.5,Wright,McHugh,Kimbrel,3:28,N,26672,+,
17,Saturday,4/23/2016,boxscore,BOS,@,HOU,L,3,8,,9-Aug,2,3.5,Fiers,Buchholz,,3:28,D,40232,-,
18,Sunday,4/24/2016,boxscore,BOS,@,HOU,W,7,5,12,9-Sep,2,2.5,Hembree,Giles,,5:03,N,32416,+,
19,Monday,4/25/2016,boxscore,BOS,@,ATL,W,1,0,,9-Oct,2,1.5,Porcello,Teheran,Kimbrel,2:55,N,22735,++,
20,Tuesday,4/26/2016,boxscore,BOS,@,ATL,W,11,4,,9-Nov,2,0.5,Price,Wisler,,2:52,N,23487,+++,
21,Wednesday,4/27/2016,boxscore,BOS,,ATL,W,9,4,,9-Dec,2,0.5,Wright,Norris,,3:02,N,33380,++++,
22,Thursday,4/28/2016,boxscore,BOS,,ATL,L,3,5,,10-Dec,2,1.5,Chacin,Buchholz,Vizcaino,3:22,N,32232,-,
23,Friday,4/29/2016,boxscore,BOS,,NYY,W,4,2,,13-10,2,1.5,Uehara,Betances,Kimbrel,2:50,N,37115,+,
24,Saturday,4/30/2016,boxscore,BOS,,NYY,W,8,0,,14-10,2,0.5,Porcello,Pineda,,3:30,N,37901,++,
25,Sunday,5/1/2016,boxscore,BOS,,NYY,W,8,7,,15-10,1,up 0.5,Price,Nova,Kimbrel,3:17,N,34279,+++,
26,Tuesday,5/3/2016,boxscore,BOS,@,CHW,L,1,4,,15-11,2,0.5,Quintana,Wright,Robertson,2:53,N,15025,-,
27,Wednesday,5/4/2016,boxscore,BOS,@,CHW,W,5,2,,16-11,1,up 0.5,Buchholz,Rodon,Kimbrel,2:46,N,14383,+,
28,Thursday,5/5/2016,boxscore,BOS,@,CHW,W,7,3,,17-11,1,up 0.5,Barnes,Johnson,,3:57,N,20126,++,
29,Friday,5/6/2016,boxscore,BOS,@,NYY,L,2,3,,17-12,1,Tied,Yates,Porcello,Miller,3:10,N,45756,-,
